Sample	Value	sample_number	timepoint	ear_tag	group	Response
141_D24_7226	295.997055659984	141	4	7226	Responder	Responders
142_D24_7227	571.112823974736	142	4	7227	Responder	Responders
143_D24_7228	521.908157091842	143	4	7228	Responder	Responders
144_D24_7229	703.67995609074	144	4	7229	Responder	Responders
145_D24_311	758.388790541256	145	4	311	Responder	Responders
146_D24_315	580.651120500363	146	4	315	Responder	Responders
147_D24_322	594.029090149309	147	4	322	Responder	Responders
148_D24_327	517.515735086571	148	4	327	Responder	Responders
149_D24_7203	608.570811374133	149	4	7203	NonResponder	Non-responders
15_D4_327	524.527469032976	15	1	327	Responder	Responders
150_D24_7220	422.092104992895	150	4	7220	NonResponder	Non-responders
151_D24_7222	567.976179065489	151	4	7222	NonResponder	Non-responders
152_D24_304	389.613175344085	152	4	304	NonResponder	Non-responders
153_D24_305	615.084815884027	153	4	305	NonResponder	Non-responders
154_D24_308	588.440076740713	154	4	308	NonResponder	Non-responders
155_D24_310	575.841176603843	155	4	310	NonResponder	Non-responders
156_D24_313	694.673069488024	156	4	313	NonResponder	Non-responders
157_D24_316	494.435109952459	157	4	316	NonResponder	Non-responders
158_D24_320	553.939061109357	158	4	320	NonResponder	Non-responders
159_D24_321	555.895838114903	159	4	321	NonResponder	Non-responders
16_D4_7203	656.580897083808	16	1	7203	NonResponder	Non-responders
160_D24_323	444.73098929588	160	4	323	NonResponder	Non-responders
161_D24_328	565.301076103665	161	4	328	NonResponder	Non-responders
162_D24_329	541.97183416697	162	4	329	NonResponder	Non-responders
163_D24_330	506.147884459057	163	4	330	StableDisease	Non-responders
164_D24_7218	812.135195802176	164	4	7218	StableDisease	Non-responders
165_D24_7223	515.057142457655	165	4	7223	StableDisease	Non-responders
166_D24_7224	937.247220021712	166	4	7224	StableDisease	Non-responders
167_D24_7225	633.547080288931	167	4	7225	StableDisease	Non-responders
168_D24_302	562.85042593261	168	4	302	StableDisease	Non-responders
169_D24_306	711.359979811331	169	4	306	StableDisease	Non-responders
17_D4_7220	484.611957453253	17	1	7220	NonResponder	Non-responders
170_D24_303	624.674140884953	170	4	303	StableDisease	Non-responders
171_D24_309	567.476682894147	171	4	309	StableDisease	Non-responders
172_D24_312	687.721141732628	172	4	312	StableDisease	Non-responders
173_D24_314	439.168452376892	173	4	314	StableDisease	Non-responders
174_D24_317	305.109145340557	174	4	317	StableDisease	Non-responders
175_D24_318	666.782367917348	175	4	318	StableDisease	Non-responders
176_D24_319	584.452316557355	176	4	319	StableDisease	Non-responders
177_D24_324	682.340277091868	177	4	324	StableDisease	Non-responders
178_D24_325	599.872765679431	178	4	325	StableDisease	Non-responders
18_D4_7222	527.485684080063	18	1	7222	NonResponder	Non-responders
19_D4_304	60.1150796272132	19	1	304	NonResponder	Non-responders
2_D4_7202	604.843183897458	2	1	7202	Responder	Responders
20_D4_305	101.990454804124	20	1	305	NonResponder	Non-responders
21_D4_308	308.362938116468	21	1	308	NonResponder	Non-responders
22_D4_310	520.762568312869	22	1	310	NonResponder	Non-responders
23_D4_313	502.34875286492	23	1	313	NonResponder	Non-responders
24_D4_316	451.557278987655	24	1	316	NonResponder	Non-responders
25_D4_320	95.212167835604	25	1	320	NonResponder	Non-responders
26_D4_321	627.555629536425	26	1	321	NonResponder	Non-responders
27_D4_323	487.383367951674	27	1	323	NonResponder	Non-responders
28_D4_328	329.124196369985	28	1	328	NonResponder	Non-responders
29_D4_329	518.250747358572	29	1	329	NonResponder	Non-responders
3_D4_7205	734.445148332316	3	1	7205	Responder	Responders
30_D4_7218	476.620992747378	30	1	7218	StableDisease	Non-responders
31_D4_7223	453.364622089572	31	1	7223	StableDisease	Non-responders
32_D4_7224	506.304172525473	32	1	7224	StableDisease	Non-responders
33_D4_7225	409.087833358642	33	1	7225	StableDisease	Non-responders
34_D4_302	645.648348260641	34	1	302	StableDisease	Non-responders
35_D4_306	257.02874684598	35	1	306	StableDisease	Non-responders
36_D4_303	408.473309530421	36	1	303	StableDisease	Non-responders
37_D4_309	302.658731666868	37	1	309	StableDisease	Non-responders
38_D4_312	230.095634265997	38	1	312	StableDisease	Non-responders
39_D4_314	203.353655267585	39	1	314	StableDisease	Non-responders
4_D4_7206	711.170750695242	4	1	7206	Responder	Responders
40_D4_317	0	40	1	317	StableDisease	Non-responders
41_D4_318	67.4674948046403	41	1	318	StableDisease	Non-responders
42_D4_319	367.775994564704	42	1	319	StableDisease	Non-responders
43_D4_324	310.375510312428	43	1	324	StableDisease	Non-responders
44_D4_325	444.415977813852	44	1	325	StableDisease	Non-responders
45_D9_7201	792.021664279926	45	2	7201	Responder	Responders
46_D9_7202	703.946049297012	46	2	7202	Responder	Responders
47_D9_7205	893.515462547663	47	2	7205	Responder	Responders
48_D9_7206	837.199682583429	48	2	7206	Responder	Responders
49_D9_7208	634.976367679394	49	2	7208	Responder	Responders
5_D4_7208	530.504070588025	5	1	7208	Responder	Responders
50_D9_7210	725.718931532652	50	2	7210	Responder	Responders
51_D9_7221	604.219002359057	51	2	7221	Responder	Responders
52_D9_7226	688.937925747123	52	2	7226	Responder	Responders
53_D9_7227	641.839076860885	53	2	7227	Responder	Responders
54_D9_7228	779.677012451504	54	2	7228	Responder	Responders
55_D9_7229	852.566123340615	55	2	7229	Responder	Responders
56_D9_311	481.896185543605	56	2	311	Responder	Responders
57_D9_315	569.148649188272	57	2	315	Responder	Responders
58_D9_322	723.158186100191	58	2	322	Responder	Responders
59_D9_327	618.382352296844	59	2	327	Responder	Responders
6_D4_7210	677.353076227538	6	1	7210	Responder	Responders
60_D9_7203	689.312359551619	60	2	7203	NonResponder	Non-responders
61_D9_7220	726.368044748633	61	2	7220	NonResponder	Non-responders
62_D9_7222	658.276239289639	62	2	7222	NonResponder	Non-responders
63_D9_304	727.525135426795	63	2	304	NonResponder	Non-responders
64_D9_305	559.69511869759	64	2	305	NonResponder	Non-responders
65_D9_308	523.94309997403	65	2	308	NonResponder	Non-responders
66_D9_310	578.58911623741	66	2	310	NonResponder	Non-responders
67_D9_313	413.167429038422	67	2	313	NonResponder	Non-responders
68_D9_316	552.735313383057	68	2	316	NonResponder	Non-responders
69_D9_320	477.08986825242	69	2	320	NonResponder	Non-responders
7_D4_7221	553.430136115795	7	1	7221	Responder	Responders
70_D9_321	593.91487704827	70	2	321	NonResponder	Non-responders
71_D9_323	484.801437064471	71	2	323	NonResponder	Non-responders
72_D9_328	567.131832243112	72	2	328	NonResponder	Non-responders
73_D9_329	386.80489752123	73	2	329	NonResponder	Non-responders
74_D9_330	487.756142682975	74	2	330	NonResponder	Non-responders
75_D9_7218	523.532728870601	75	2	7218	StableDisease	Non-responders
76_D9_7223	807.699745679006	76	2	7223	StableDisease	Non-responders
77_D9_7224	535.755449405307	77	2	7224	StableDisease	Non-responders
78_D9_7225	624.137004749533	78	2	7225	StableDisease	Non-responders
79_D9_302	554.806676731385	79	2	302	StableDisease	Non-responders
8_D4_7226	629.136787970103	8	1	7226	Responder	Responders
80_D9_306	709.775820535802	80	2	306	StableDisease	Non-responders
81_D9_303	528.966594629217	81	2	303	StableDisease	Non-responders
82_D9_309	696.07278489786	82	2	309	StableDisease	Non-responders
83_D9_312	449.21267902718	83	2	312	StableDisease	Non-responders
84_D9_314	524.271926221709	84	2	314	StableDisease	Non-responders
85_D9_317	448.958117168056	85	2	317	StableDisease	Non-responders
86_D9_318	444.248308091348	86	2	318	StableDisease	Non-responders
87_D9_319	539.129463717484	87	2	319	StableDisease	Non-responders
88_D9_324	425.71651018781	88	2	324	StableDisease	Non-responders
89_D9_325	636.1846040965	89	2	325	StableDisease	Non-responders
9_D4_7227	509.697330188536	9	1	7227	Responder	Responders
90_D17_7201	559.394609058627	90	3	7201	Responder	Responders
91_D17_7202	773.645349712865	91	3	7202	Responder	Responders
92_D17_7205	770.22248278624	92	3	7205	Responder	Responders
93_D17_7208	428.809702285486	93	3	7208	Responder	Responders
94_D17_7210	669.733248076344	94	3	7210	Responder	Responders
95_D17_7221	672.56133865162	95	3	7221	Responder	Responders
96_D17_7226	857.82218613937	96	3	7226	Responder	Responders
97_D17_7227	686.763882927	97	3	7227	Responder	Responders
98_D17_7228	835.21057875983	98	3	7228	Responder	Responders
99_D17_7229	716.885957689359	99	3	7229	Responder	Responders
