sample_number	collection_day	ear_tag	sample_id	kinetic_group
144	D24	7229	144_D24_7229	Responder
145	D24	311	145_D24_311	Responder
146	D24	315	146_D24_315	Responder
147	D24	322	147_D24_322	Responder
148	D24	327	148_D24_327	Responder
149	D24	7203	149_D24_7203	NonResponder
150	D24	7220	150_D24_7220	NonResponder
151	D24	7222	151_D24_7222	NonResponder
152	D24	304	152_D24_304	NonResponder
153	D24	305	153_D24_305	NonResponder
154	D24	308	154_D24_308	NonResponder
155	D24	310	155_D24_310	NonResponder
156	D24	313	156_D24_313	NonResponder
157	D24	316	157_D24_316	NonResponder
158	D24	320	158_D24_320	NonResponder
159	D24	321	159_D24_321	NonResponder
160	D24	323	160_D24_323	NonResponder
161	D24	328	161_D24_328	NonResponder
162	D24	329	162_D24_329	NonResponder
163	D24	330	163_D24_330	StableDisease
164	D24	7218	164_D24_7218	StableDisease
165	D24	7223	165_D24_7223	StableDisease
166	D24	7224	166_D24_7224	StableDisease
167	D24	7225	167_D24_7225	StableDisease
168	D24	302	168_D24_302	StableDisease
169	D24	306	169_D24_306	StableDisease
170	D24	303	170_D24_303	StableDisease
171	D24	309	171_D24_309	StableDisease
172	D24	312	172_D24_312	StableDisease
173	D24	314	173_D24_314	StableDisease
174	D24	317	174_D24_317	StableDisease
175	D24	318	175_D24_318	StableDisease
176	D24	319	176_D24_319	StableDisease
177	D24	324	177_D24_324	StableDisease
178	D24	325	178_D24_325	StableDisease
