AUC	sensitivity	specificity	group	timepoint	sig_name	Cohort	id	data_type
60	1	1	1	aPD1	ON/POST	teff_ifng	Aoki_2021	Aoki_2021_aPD1_ON/POST	Bulk
61	0.67	0.666666666666667	1	aPD1	PRE	stroma_emt	Aoki_2021	Aoki_2021_aPD1_PRE	Bulk
62	1	1	1	aPD1	ON/POST	stroma_emt	Aoki_2021	Aoki_2021_aPD1_ON/POST	Bulk
63	0.56	0.333333333333333	1	aPD1	PRE	tgfb	Aoki_2021	Aoki_2021_aPD1_PRE	Bulk
64	1	1	1	aPD1	ON/POST	tgfb	Aoki_2021	Aoki_2021_aPD1_ON/POST	Bulk
65	0.89	0.666666666666667	1	aPD1	PRE	mean_score	Aoki_2021	Aoki_2021_aPD1_PRE	Bulk
66	1	1	1	aPD1	ON/POST	mean_score	Aoki_2021	Aoki_2021_aPD1_ON/POST	Bulk
67	0.79	0.6	0.6	aPD1	PRE	CD274	Obradovic2_2022	Obradovic2_2022_aPD1_PRE	Bulk
68	0.77	0.8	0.866666666666667	aPD1	PRE	CD38	Obradovic2_2022	Obradovic2_2022_aPD1_PRE	Bulk
69	0.89	1	0.8	aPD1	PRE	CXCL9	Obradovic2_2022	Obradovic2_2022_aPD1_PRE	Bulk
70	0.32	0.8	0.333333333333333	aPD1	PRE	MEX3B	Obradovic2_2022	Obradovic2_2022_aPD1_PRE	Bulk
71	0.93	1	0.866666666666667	aPD1	PRE	chemo_12	Obradovic2_2022	Obradovic2_2022_aPD1_PRE	Bulk
72	0.95	1	0.866666666666667	aPD1	PRE	POPLAR_teff	Obradovic2_2022	Obradovic2_2022_aPD1_PRE	Bulk
73	0.51	1	0.2	aPD1	PRE	proliferation	Obradovic2_2022	Obradovic2_2022_aPD1_PRE	Bulk
74	0.91	1	0.8	aPD1	PRE	teff_ifng	Obradovic2_2022	Obradovic2_2022_aPD1_PRE	Bulk
75	0.57	0.8	0.533333333333333	aPD1	PRE	stroma_emt	Obradovic2_2022	Obradovic2_2022_aPD1_PRE	Bulk
76	0.6	0.8	0.6	aPD1	PRE	tgfb	Obradovic2_2022	Obradovic2_2022_aPD1_PRE	Bulk
77	0.8	0.8	0.8	aPD1	PRE	mean_score	Obradovic2_2022	Obradovic2_2022_aPD1_PRE	Bulk
78	0.56	1	0.333333333333333	Unknown	PRE	CD38	Bill sc	Bill sc_Unknown_PRE	Single cell
79	0.6	0.8	0.555555555555556	Unknown	PRE	CXCL9	Bill sc	Bill sc_Unknown_PRE	Single cell
80	0.47	0.8	0.333333333333333	Unknown	PRE	CD274	Bill sc	Bill sc_Unknown_PRE	Single cell
81	0.4	1	0.222222222222222	Unknown	PRE	MEX3B	Bill sc	Bill sc_Unknown_PRE	Single cell
82	0.62	0.6	0.777777777777778	Unknown	PRE	chemo_12	Bill sc	Bill sc_Unknown_PRE	Single cell
83	0.58	1	0.333333333333333	Unknown	PRE	POPLAR_teff	Bill sc	Bill sc_Unknown_PRE	Single cell
84	0.27	0	1	Unknown	PRE	proliferation	Bill sc	Bill sc_Unknown_PRE	Single cell
85	0.49	1	0.333333333333333	Unknown	PRE	teff_ifng	Bill sc	Bill sc_Unknown_PRE	Single cell
86	0.33	0.2	0.888888888888889	Unknown	PRE	stroma_emt	Bill sc	Bill sc_Unknown_PRE	Single cell
87	0.24	0	1	Unknown	PRE	tgfb	Bill sc	Bill sc_Unknown_PRE	Single cell
88	0.71	1	0.444444444444444	Unknown	PRE	mean_score	Bill sc	Bill sc_Unknown_PRE	Single cell
89	0.5	1	0.5	Mono	Post	CD38	Luoma tumor sc	Luoma tumor sc_Mono_Post	Single cell
90	0.33	1	0.333333333333333	Mono	Post	CXCL9	Luoma tumor sc	Luoma tumor sc_Mono_Post	Single cell
91	1	1	1	Mono	Post	CD274	Luoma tumor sc	Luoma tumor sc_Mono_Post	Single cell
92	0.33	1	0.333333333333333	Mono	Post	MEX3B	Luoma tumor sc	Luoma tumor sc_Mono_Post	Single cell
93	1	1	1	Mono	Post	chemo_12	Luoma tumor sc	Luoma tumor sc_Mono_Post	Single cell
94	0.33	1	0.333333333333333	Mono	Post	POPLAR_teff	Luoma tumor sc	Luoma tumor sc_Mono_Post	Single cell
95	0	0	1	Mono	Post	proliferation	Luoma tumor sc	Luoma tumor sc_Mono_Post	Single cell
96	0.67	1	0.666666666666667	Mono	Post	teff_ifng	Luoma tumor sc	Luoma tumor sc_Mono_Post	Single cell
97	1	1	1	Mono	Post	stroma_emt	Luoma tumor sc	Luoma tumor sc_Mono_Post	Single cell
98	0.67	1	0.666666666666667	Mono	Post	tgfb	Luoma tumor sc	Luoma tumor sc_Mono_Post	Single cell
99	0.83	1	0.833333333333333	Mono	Post	mean_score	Luoma tumor sc	Luoma tumor sc_Mono_Post	Single cell
100	0.43	1	0.428571428571429	Mono	B1	CD38	Luoma pbmc sc	Luoma pbmc sc_Mono_B1	Single cell
101	0.29	1	0.285714285714286	Mono	B2	CD38	Luoma pbmc sc	Luoma pbmc sc_Mono_B2	Single cell
102	0.57	1	0.571428571428571	Mono	B1	CXCL9	Luoma pbmc sc	Luoma pbmc sc_Mono_B1	Single cell
103	0	0	1	Mono	B2	CXCL9	Luoma pbmc sc	Luoma pbmc sc_Mono_B2	Single cell
104	0.57	1	0.571428571428571	Mono	B1	CD274	Luoma pbmc sc	Luoma pbmc sc_Mono_B1	Single cell
105	1	1	1	Mono	B2	CD274	Luoma pbmc sc	Luoma pbmc sc_Mono_B2	Single cell
106	1	1	1	Mono	B1	MEX3B	Luoma pbmc sc	Luoma pbmc sc_Mono_B1	Single cell
107	0.14	1	0.142857142857143	Mono	B2	MEX3B	Luoma pbmc sc	Luoma pbmc sc_Mono_B2	Single cell
108	0.43	1	0.428571428571429	Mono	B1	chemo_12	Luoma pbmc sc	Luoma pbmc sc_Mono_B1	Single cell
109	0.57	1	0.571428571428571	Mono	B2	chemo_12	Luoma pbmc sc	Luoma pbmc sc_Mono_B2	Single cell
110	1	1	1	Mono	B1	POPLAR_teff	Luoma pbmc sc	Luoma pbmc sc_Mono_B1	Single cell
111	1	1	1	Mono	B2	POPLAR_teff	Luoma pbmc sc	Luoma pbmc sc_Mono_B2	Single cell
112	0.71	1	0.714285714285714	Mono	B1	proliferation	Luoma pbmc sc	Luoma pbmc sc_Mono_B1	Single cell
113	0.86	1	0.857142857142857	Mono	B2	proliferation	Luoma pbmc sc	Luoma pbmc sc_Mono_B2	Single cell
114	1	1	1	Mono	B1	teff_ifng	Luoma pbmc sc	Luoma pbmc sc_Mono_B1	Single cell
115	1	1	1	Mono	B2	teff_ifng	Luoma pbmc sc	Luoma pbmc sc_Mono_B2	Single cell
116	0.57	1	0.571428571428571	Mono	B1	stroma_emt	Luoma pbmc sc	Luoma pbmc sc_Mono_B1	Single cell
117	0	0	1	Mono	B2	stroma_emt	Luoma pbmc sc	Luoma pbmc sc_Mono_B2	Single cell
118	0.43	1	0.428571428571429	Mono	B1	tgfb	Luoma pbmc sc	Luoma pbmc sc_Mono_B1	Single cell
119	0.14	1	0.142857142857143	Mono	B2	tgfb	Luoma pbmc sc	Luoma pbmc sc_Mono_B2	Single cell
120	0.86	1	0.857142857142857	Mono	B1	mean_score	Luoma pbmc sc	Luoma pbmc sc_Mono_B1	Single cell
121	0.86	1	0.857142857142857	Mono	B2	mean_score	Luoma pbmc sc	Luoma pbmc sc_Mono_B2	Single cell
