Sample	Value	sample_number	timepoint	ear_tag	group	Response
54_D9_7228	146.500617828773	54	2	7228	Responder	Responders
55_D9_7229	163.476416337286	55	2	7229	Responder	Responders
56_D9_311	83.881881754609	56	2	311	Responder	Responders
57_D9_315	86.9366141152203	57	2	315	Responder	Responders
58_D9_322	134.331129476584	58	2	322	Responder	Responders
59_D9_327	114.351067402255	59	2	327	Responder	Responders
6_D4_7210	99.0896551724138	6	1	7210	Responder	Responders
60_D9_7203	117.62816399287	60	2	7203	NonResponder	Non-responders
61_D9_7220	157.654896229173	61	2	7220	NonResponder	Non-responders
62_D9_7222	123.25051821143	62	2	7222	NonResponder	Non-responders
63_D9_304	159.533664435327	63	2	304	NonResponder	Non-responders
64_D9_305	140.397652275988	64	2	305	NonResponder	Non-responders
65_D9_308	105.895143295342	65	2	308	NonResponder	Non-responders
66_D9_310	52.6368210405946	66	2	310	NonResponder	Non-responders
67_D9_313	105.22982330558	67	2	313	NonResponder	Non-responders
68_D9_316	81.2904230641776	68	2	316	NonResponder	Non-responders
69_D9_320	107.224946295535	69	2	320	NonResponder	Non-responders
7_D4_7221	115.363947607314	7	1	7221	Responder	Responders
70_D9_321	89.3922897615205	70	2	321	NonResponder	Non-responders
71_D9_323	98.5303120759837	71	2	323	NonResponder	Non-responders
72_D9_328	99.1260882440036	72	2	328	NonResponder	Non-responders
73_D9_329	128.354528834968	73	2	329	NonResponder	Non-responders
74_D9_330	100.942568542569	74	2	330	NonResponder	Non-responders
75_D9_7218	154.29318380657	75	2	7218	StableDisease	Non-responders
76_D9_7223	168.289978858351	76	2	7223	StableDisease	Non-responders
77_D9_7224	107.482719827943	77	2	7224	StableDisease	Non-responders
78_D9_7225	131.052860310421	78	2	7225	StableDisease	Non-responders
79_D9_302	112.919480519481	79	2	302	StableDisease	Non-responders
8_D4_7226	129.37168027305	8	1	7226	Responder	Responders
80_D9_306	143.844005270092	80	2	306	StableDisease	Non-responders
81_D9_303	91.3275001776957	81	2	303	StableDisease	Non-responders
82_D9_309	110.235796066151	82	2	309	StableDisease	Non-responders
83_D9_312	117.121003134796	83	2	312	StableDisease	Non-responders
84_D9_314	143.853519888653	84	2	314	StableDisease	Non-responders
85_D9_317	135.349307715025	85	2	317	StableDisease	Non-responders
86_D9_318	72.0340400813244	86	2	318	StableDisease	Non-responders
87_D9_319	113.531336898396	87	2	319	StableDisease	Non-responders
88_D9_324	134.017187997707	88	2	324	StableDisease	Non-responders
89_D9_325	52.6509794515071	89	2	325	StableDisease	Non-responders
9_D4_7227	131.103128147573	9	1	7227	Responder	Responders
90_D17_7201	67.8101110859216	90	3	7201	Responder	Responders
91_D17_7202	110.86983512941	91	3	7202	Responder	Responders
92_D17_7205	141.670311084265	92	3	7205	Responder	Responders
93_D17_7208	98.3915055123803	93	3	7208	Responder	Responders
94_D17_7210	144.825375440331	94	3	7210	Responder	Responders
95_D17_7221	154.135860230974	95	3	7221	Responder	Responders
96_D17_7226	147.413986013986	96	3	7226	Responder	Responders
97_D17_7227	108.071483042344	97	3	7227	Responder	Responders
98_D17_7228	163.589597841772	98	3	7228	Responder	Responders
99_D17_7229	93.5071692535107	99	3	7229	Responder	Responders
